2025-07-28 16:42:24 | Mineralys Therapeutics, Inc. | Officer | Shares: 12946 | Value: $181,803.62 | Outstanding: 65,175,287 | Percent: 0.019863% | Link: https://www.sec.gov/Archives/edgar/data/1933414/000196430625000292/0001964306-25-000292.txt
2025-07-28 16:42:25 | Mineralys Therapeutics, Inc. | Officer | Shares: 12946 | Value: $181,803.62 | Outstanding: 65,175,287 | Percent: 0.019863% | Link: https://www.sec.gov/Archives/edgar/data/1693134/000196430625000292/0001964306-25-000292.txt
2025-07-28 16:42:26 | MOHAWK INDUSTRIES INC | Affiliate | Shares: 16000 | Value: $1,933,046.71 | Outstanding: 62,520,000 | Percent: 0.025592% | Link: https://www.sec.gov/Archives/edgar/data/925177/000105407425000113/0001054074-25-000113.txt
2025-07-28 16:42:28 | MOHAWK INDUSTRIES INC | Affiliate | Shares: 16000 | Value: $1,933,046.71 | Outstanding: 62,520,000 | Percent: 0.025592% | Link: https://www.sec.gov/Archives/edgar/data/851968/000105407425000113/0001054074-25-000113.txt
2025-07-28 16:42:29 | NXP SEMICONDUCTORS N.V. | Officer | Shares: 6785 | Value: $1,542,505.97 | Outstanding: 252,114,595 | Percent: 0.002691% | Link: https://www.sec.gov/Archives/edgar/data/1888543/000195004725005232/0001950047-25-005232.txt
2025-07-28 16:42:30 | NXP SEMICONDUCTORS N.V. | Officer | Shares: 6785 | Value: $1,542,505.97 | Outstanding: 252,114,595 | Percent: 0.002691% | Link: https://www.sec.gov/Archives/edgar/data/1413447/000195004725005232/0001950047-25-005232.txt
2025-07-28 16:42:31 | HEALTHCARE SERVICES GROUP, INC. | Officer | Shares: 21368 | Value: $283,126.0 | Outstanding: 72,412,725 | Percent: 0.029509% | Link: https://www.sec.gov/Archives/edgar/data/1502211/000195004725005231/0001950047-25-005231.txt
2025-07-28 16:42:32 | HEALTHCARE SERVICES GROUP, INC. | Officer | Shares: 21368 | Value: $283,126.0 | Outstanding: 72,412,725 | Percent: 0.029509% | Link: https://www.sec.gov/Archives/edgar/data/731012/000195004725005231/0001950047-25-005231.txt
2025-07-28 16:42:33 | Super Micro Computer, Inc. | Officer | Shares: 200000 | Value: $12,000,200.0 | Outstanding: 596,817,646 | Percent: 0.033511% | Link: https://www.sec.gov/Archives/edgar/data/1392942/000200731725000761/0002007317-25-000761.txt
2025-07-28 16:42:34 | Super Micro Computer, Inc. | Officer | Shares: 200000 | Value: $12,000,200.0 | Outstanding: 596,817,646 | Percent: 0.033511% | Link: https://www.sec.gov/Archives/edgar/data/1375365/000200731725000761/0002007317-25-000761.txt
2025-07-28 16:50:49 | Mineralys Therapeutics, Inc. | Officer | Shares: 12946 | Value: $181,803.62 | Outstanding: 65,175,287 | Percent: 0.019863% | Link: https://www.sec.gov/Archives/edgar/data/1933414/000196430625000292/0001964306-25-000292.txt
2025-07-28 16:50:50 | Mineralys Therapeutics, Inc. | Officer | Shares: 12946 | Value: $181,803.62 | Outstanding: 65,175,287 | Percent: 0.019863% | Link: https://www.sec.gov/Archives/edgar/data/1693134/000196430625000292/0001964306-25-000292.txt
2025-07-28 16:50:51 | MOHAWK INDUSTRIES INC | Affiliate | Shares: 16000 | Value: $1,933,046.71 | Outstanding: 62,520,000 | Percent: 0.025592% | Link: https://www.sec.gov/Archives/edgar/data/925177/000105407425000113/0001054074-25-000113.txt
2025-07-28 16:50:52 | MOHAWK INDUSTRIES INC | Affiliate | Shares: 16000 | Value: $1,933,046.71 | Outstanding: 62,520,000 | Percent: 0.025592% | Link: https://www.sec.gov/Archives/edgar/data/851968/000105407425000113/0001054074-25-000113.txt
2025-07-28 16:50:54 | NXP SEMICONDUCTORS N.V. | Officer | Shares: 6785 | Value: $1,542,505.97 | Outstanding: 252,114,595 | Percent: 0.002691% | Link: https://www.sec.gov/Archives/edgar/data/1888543/000195004725005232/0001950047-25-005232.txt
2025-07-28 16:50:55 | NXP SEMICONDUCTORS N.V. | Officer | Shares: 6785 | Value: $1,542,505.97 | Outstanding: 252,114,595 | Percent: 0.002691% | Link: https://www.sec.gov/Archives/edgar/data/1413447/000195004725005232/0001950047-25-005232.txt
2025-07-28 16:50:56 | HEALTHCARE SERVICES GROUP, INC. | Officer | Shares: 21368 | Value: $283,126.0 | Outstanding: 72,412,725 | Percent: 0.029509% | Link: https://www.sec.gov/Archives/edgar/data/1502211/000195004725005231/0001950047-25-005231.txt
2025-07-28 16:50:57 | HEALTHCARE SERVICES GROUP, INC. | Officer | Shares: 21368 | Value: $283,126.0 | Outstanding: 72,412,725 | Percent: 0.029509% | Link: https://www.sec.gov/Archives/edgar/data/731012/000195004725005231/0001950047-25-005231.txt
2025-07-28 17:02:18 | HEALTHCARE SERVICES GROUP, INC. | Officer | Shares: 21368 | Value: $283,126.0 | Percent: 0.029509% | Link: https://www.sec.gov/Archives/edgar/data/731012/000195004725005231/0001950047-25-005231.txt
2025-08-15 17:49:13 | Ballotti Geoffrey A | Officer | Shares: 26603 | Value: $2,354,787.08 | Percent: 0.034841% | Link: https://www.sec.gov/Archives/edgar/data/1397086/000200731725000881/0002007317-25-000881.txt
2025-08-15 18:35:45 | Pryor D. Scott | Officer | Shares: 20000 | Value: $3,307,038.05 | Percent: 0.009294% | Link: https://www.sec.gov/Archives/edgar/data/1659146/000197407825000255/0001974078-25-000255.txt
2025-08-15 18:35:46 | Pryor D. Scott | Officer | Shares: 20000 | Value: $3,307,038.05 | Percent: 0.009294% | Link: https://www.sec.gov/Archives/edgar/data/1389170/000197407825000255/0001974078-25-000255.txt
2025-08-15 18:35:48 | Barber Jamie Allen | Officer | Shares: 130000 | Value: $878,000.0 | Percent: 0.194382% | Link: https://www.sec.gov/Archives/edgar/data/1705686/000195917325005234/0001959173-25-005234.txt
2025-08-15 18:35:49 | Barber Jamie Allen | Officer | Shares: 130000 | Value: $878,000.0 | Percent: 0.194382% | Link: https://www.sec.gov/Archives/edgar/data/1533615/000195917325005234/0001959173-25-005234.txt
2025-08-15 18:35:51 | Linnen Edward P | Officer | Shares: 10000 | Value: $1,569,183.26 | Percent: 0.028482% | Link: https://www.sec.gov/Archives/edgar/data/1566861/000200731725000882/0002007317-25-000882.txt
2025-08-15 18:35:51 | Linnen Edward P | Officer | Shares: 10000 | Value: $1,569,183.26 | Percent: 0.028482% | Link: https://www.sec.gov/Archives/edgar/data/723612/000200731725000882/0002007317-25-000882.txt
2025-08-15 18:55:44 | Mackin James P | Officer | Shares: 12500 | Value: $528,991.0 | Percent: 0.026492% | Link: https://www.sec.gov/Archives/edgar/data/1408470/000100027525000114/0001000275-25-000114.txt
2025-08-15 18:55:44 | Mackin James P | Officer | Shares: 12500 | Value: $528,991.0 | Percent: 0.026492% | Link: https://www.sec.gov/Archives/edgar/data/784199/000100027525000114/0001000275-25-000114.txt
2025-08-15 19:13:43 | Schuppenhauer Eric | Officer | Shares: 23354 | Value: $533,606.2 | Percent: 0.001950% | Link: https://www.sec.gov/Archives/edgar/data/2034857/000195917325005236/0001959173-25-005236.txt
2025-08-15 19:13:44 | Schuppenhauer Eric | Officer | Shares: 23354 | Value: $533,606.2 | Percent: 0.001950% | Link: https://www.sec.gov/Archives/edgar/data/1818874/000195917325005236/0001959173-25-005236.txt
2025-08-15 19:13:45 | DeSieno Alexis | Officer | Shares: 26048 | Value: $31,695.21 | Percent: 0.048928% | Link: https://www.sec.gov/Archives/edgar/data/1987391/000195917325005235/0001959173-25-005235.txt
2025-08-15 19:13:46 | DeSieno Alexis | Officer | Shares: 26048 | Value: $31,695.21 | Percent: 0.048928% | Link: https://www.sec.gov/Archives/edgar/data/1666071/000195917325005235/0001959173-25-005235.txt
2025-08-15 19:28:03 | Erasca Foundation | Erasca Foundation | Shares: 8333 | Value: $12,834.87 | Percent: 0.002938% | Link: https://www.sec.gov/Archives/edgar/data/1973524/000200731725000883/0002007317-25-000883.txt
2025-08-15 19:28:04 | Erasca Foundation | Erasca Foundation | Shares: 8333 | Value: $12,834.87 | Percent: 0.002938% | Link: https://www.sec.gov/Archives/edgar/data/1761918/000200731725000883/0002007317-25-000883.txt
2025-08-15 19:28:06 | Keys Randall D | Director | Shares: 173913 | Value: $212,173.0 | Percent: 0.511155% | Link: https://www.sec.gov/Archives/edgar/data/1050736/000195917325005238/0001959173-25-005238.txt
2025-08-15 19:28:06 | Keys Randall D | Director | Shares: 173913 | Value: $212,173.0 | Percent: 0.511155% | Link: https://www.sec.gov/Archives/edgar/data/101594/000195917325005238/0001959173-25-005238.txt
2025-08-15 19:28:08 | Pinto Arun | Officer | Shares: 24147 | Value: $551,725.14 | Percent: 0.002017% | Link: https://www.sec.gov/Archives/edgar/data/2012135/000195917325005237/0001959173-25-005237.txt
2025-08-15 19:28:09 | Pinto Arun | Officer | Shares: 24147 | Value: $551,725.14 | Percent: 0.002017% | Link: https://www.sec.gov/Archives/edgar/data/1818874/000195917325005237/0001959173-25-005237.txt
2025-08-15 19:39:21 | Henry R. Slack | Director | Shares: 32000 | Value: $1,040,960.0 | Percent: 0.418555% | Link: https://www.sec.gov/Archives/edgar/data/1192331/000000354525000111/0000003545-25-000111.txt
2025-08-15 19:39:21 | Henry R. Slack | Director | Shares: 32000 | Value: $1,040,960.0 | Percent: 0.418555% | Link: https://www.sec.gov/Archives/edgar/data/3545/000000354525000111/0000003545-25-000111.txt
2025-08-15 19:39:23 | Murry Stefan J. | Officer | Shares: 12000 | Value: $268,200.0 | Percent: 0.019245% | Link: https://www.sec.gov/Archives/edgar/data/1587599/000197407825000256/0001974078-25-000256.txt
2025-08-15 19:39:24 | Murry Stefan J. | Officer | Shares: 12000 | Value: $268,200.0 | Percent: 0.019245% | Link: https://www.sec.gov/Archives/edgar/data/1158114/000197407825000256/0001974078-25-000256.txt
2025-08-15 19:48:54 | Ben-Yair Ehud | Officer | Shares: 7311 | Value: $247,916.01 | Percent: 0.066826% | Link: https://www.sec.gov/Archives/edgar/data/2036292/000197640825000264/0001976408-25-000264.txt
2025-08-15 19:48:55 | Ben-Yair Ehud | Officer | Shares: 7311 | Value: $247,916.01 | Percent: 0.066826% | Link: https://www.sec.gov/Archives/edgar/data/808439/000197640825000264/0001976408-25-000264.txt
2025-08-15 19:48:58 | Hamilton James C | Officer | Shares: 9389 | Value: $187,750.05 | Percent: 0.006791% | Link: https://www.sec.gov/Archives/edgar/data/1830755/000200731725000884/0002007317-25-000884.txt
2025-08-15 19:48:59 | Hamilton James C | Officer | Shares: 9389 | Value: $187,750.05 | Percent: 0.006791% | Link: https://www.sec.gov/Archives/edgar/data/879407/000200731725000884/0002007317-25-000884.txt
2025-08-15 19:58:04 | Wolk Joseph J | Officer | Shares: 16820 | Value: $2,975,571.23 | Percent: 0.000698% | Link: https://www.sec.gov/Archives/edgar/data/1744564/000195917325005244/0001959173-25-005244.txt
2025-08-15 19:58:05 | Wolk Joseph J | Officer | Shares: 16820 | Value: $2,975,571.23 | Percent: 0.000698% | Link: https://www.sec.gov/Archives/edgar/data/200406/000195917325005244/0001959173-25-005244.txt
2025-08-15 19:58:06 | HAHN KENNETH R | Officer | Shares: 25000 | Value: $298,019.7 | Percent: 0.015272% | Link: https://www.sec.gov/Archives/edgar/data/1651562/000195917325005243/0001959173-25-005243.txt
2025-08-15 19:58:07 | HAHN KENNETH R | Officer | Shares: 25000 | Value: $298,019.7 | Percent: 0.015272% | Link: https://www.sec.gov/Archives/edgar/data/1202943/000195917325005243/0001959173-25-005243.txt
2025-08-15 19:58:09 | Jones Nicole S | Officer | Shares: 28526 | Value: $8,557,800.0 | Percent: 0.010687% | Link: https://www.sec.gov/Archives/edgar/data/1739940/000195917325005242/0001959173-25-005242.txt
2025-08-15 19:58:10 | Jones Nicole S | Officer | Shares: 28526 | Value: $8,557,800.0 | Percent: 0.010687% | Link: https://www.sec.gov/Archives/edgar/data/1492663/000195917325005242/0001959173-25-005242.txt
2025-08-15 19:58:11 | Skeans Tracy L | Officer | Shares: 12220 | Value: $1,811,513.0 | Percent: 0.004378% | Link: https://www.sec.gov/Archives/edgar/data/1660119/000200731725000885/0002007317-25-000885.txt
2025-08-15 19:58:12 | Skeans Tracy L | Officer | Shares: 12220 | Value: $1,811,513.0 | Percent: 0.004378% | Link: https://www.sec.gov/Archives/edgar/data/1041061/000200731725000885/0002007317-25-000885.txt
2025-08-15 20:42:49 | JOANNE BAL | Officer | Shares: 9999 | Value: $476,947.3 | Percent: 0.022376% | Link: https://www.sec.gov/Archives/edgar/data/1858527/000195004725005931/0001950047-25-005931.txt
2025-08-15 20:42:50 | JOANNE BAL | Officer | Shares: 9999 | Value: $476,947.3 | Percent: 0.022376% | Link: https://www.sec.gov/Archives/edgar/data/1579733/000195004725005931/0001950047-25-005931.txt
2025-08-15 20:42:52 | Hannover Holdings S.A. | Affiliate | Shares: 150000 | Value: $533,018.0 | Percent: 0.165697% | Link: https://www.sec.gov/Archives/edgar/data/1962608/000196858225000748/0001968582-25-000748.txt
2025-08-15 20:42:54 | Hannover Holdings S.A. | Affiliate | Shares: 150000 | Value: $533,018.0 | Percent: 0.165697% | Link: https://www.sec.gov/Archives/edgar/data/1874315/000196858225000748/0001968582-25-000748.txt
2025-08-15 20:42:55 | Nicholas Fink | Officer | Shares: 31314 | Value: $1,758,952.61 | Percent: 0.026087% | Link: https://www.sec.gov/Archives/edgar/data/1549543/000196922325000617/0001969223-25-000617.txt
2025-08-15 20:42:57 | Nicholas Fink | Officer | Shares: 31314 | Value: $1,758,952.61 | Percent: 0.026087% | Link: https://www.sec.gov/Archives/edgar/data/1519751/000196922325000617/0001969223-25-000617.txt
2025-08-15 20:53:21 | Thierry Bernard | Officer | Shares: 25000 | Value: $1,220,000.0 | Percent: 0.011530% | Link: https://www.sec.gov/Archives/edgar/data/1815490/000101582025000054/0001015820-25-000054.txt
2025-08-15 20:53:21 | Thierry Bernard | Officer | Shares: 25000 | Value: $1,220,000.0 | Percent: 0.011530% | Link: https://www.sec.gov/Archives/edgar/data/1015820/000101582025000054/0001015820-25-000054.txt
2025-08-15 20:53:23 | THE SRR FAMILY TRUST | Affiliate | Shares: 399497 | Value: $5,585,712.05 | Percent: 0.063112% | Link: https://www.sec.gov/Archives/edgar/data/2041610/000195004725005935/0001950047-25-005935.txt
2025-08-15 20:53:24 | THE SRR FAMILY TRUST | Affiliate | Shares: 399497 | Value: $5,585,712.05 | Percent: 0.063112% | Link: https://www.sec.gov/Archives/edgar/data/2022489/000195004725005935/0001950047-25-005935.txt
2025-08-15 20:53:25 | REDSTONE SHARI | Affiliate | Shares: 418069 | Value: $5,852,966.0 | Percent: 0.033608% | Link: https://www.sec.gov/Archives/edgar/data/2041610/000200731725000890/0002007317-25-000890.txt
2025-08-15 20:53:26 | REDSTONE SHARI | Affiliate | Shares: 418069 | Value: $5,852,966.0 | Percent: 0.033608% | Link: https://www.sec.gov/Archives/edgar/data/1204569/000200731725000890/0002007317-25-000890.txt
2025-08-15 20:53:27 | CHRISTOPHER D MCCARTHY | Affiliate | Shares: 187648 | Value: $2,642,496.67 | Percent: 0.029644% | Link: https://www.sec.gov/Archives/edgar/data/2041610/000195004725005933/0001950047-25-005933.txt
2025-08-15 20:53:28 | CHRISTOPHER D MCCARTHY | Affiliate | Shares: 187648 | Value: $2,642,496.67 | Percent: 0.029644% | Link: https://www.sec.gov/Archives/edgar/data/1960465/000195004725005933/0001950047-25-005933.txt
2025-08-15 21:10:05 | AIK NA TAN | Director | Shares: 21000 | Value: $194,250.0 | Percent: 0.013196% | Link: https://www.sec.gov/Archives/edgar/data/1821285/000195004725005939/0001950047-25-005939.txt
2025-08-15 21:10:06 | AIK NA TAN | Director | Shares: 21000 | Value: $194,250.0 | Percent: 0.013196% | Link: https://www.sec.gov/Archives/edgar/data/1631574/000195004725005939/0001950047-25-005939.txt
2025-08-15 21:10:07 | TIMOTHY CABRAL | Director | Shares: 20000 | Value: $1,275,566.0 | Percent: 0.010678% | Link: https://www.sec.gov/Archives/edgar/data/1585858/000195004725005938/0001950047-25-005938.txt
2025-08-15 21:10:08 | TIMOTHY CABRAL | Director | Shares: 20000 | Value: $1,275,566.0 | Percent: 0.010678% | Link: https://www.sec.gov/Archives/edgar/data/1516513/000195004725005938/0001950047-25-005938.txt
2025-08-15 21:10:11 | Brian Kroll | Officer | Shares: 6362 | Value: $260,020.34 | Percent: 0.003356% | Link: https://www.sec.gov/Archives/edgar/data/2023781/000196922325000619/0001969223-25-000619.txt
2025-08-15 21:10:12 | Sean Nigel Woodroffe | Officer | Shares: 16164 | Value: $661,044.56 | Percent: 0.008526% | Link: https://www.sec.gov/Archives/edgar/data/1976057/000196922325000618/0001969223-25-000618.txt
2025-08-15 21:28:34 | Michael Hsing | Officer | Shares: 20231 | Value: $16,773,556.49 | Percent: 0.042243% | Link: https://www.sec.gov/Archives/edgar/data/1308676/000195004725005941/0001950047-25-005941.txt
2025-08-15 21:28:35 | Michael Hsing | Officer | Shares: 20231 | Value: $16,773,556.49 | Percent: 0.042243% | Link: https://www.sec.gov/Archives/edgar/data/1280452/000195004725005941/0001950047-25-005941.txt
2025-08-15 21:40:41 | Peter Vanacker | Officer | Shares: 20000 | Value: $1,066,200.0 | Percent: 0.006218% | Link: https://www.sec.gov/Archives/edgar/data/1911538/000196858225000750/0001968582-25-000750.txt
2025-08-15 21:40:42 | Peter Vanacker | Officer | Shares: 20000 | Value: $1,066,200.0 | Percent: 0.006218% | Link: https://www.sec.gov/Archives/edgar/data/1489393/000196858225000750/0001968582-25-000750.txt
2025-08-15 21:40:45 | Goldsteen Mitchell B. | AFFILIATE | Shares: 30805 | Value: $68,679.75 | Percent: 0.087341% | Link: https://www.sec.gov/Archives/edgar/data/1997607/000001179025000009/0000011790-25-000009.txt
2025-08-15 21:40:46 | Goldsteen Mitchell B. | AFFILIATE | Shares: 30805 | Value: $68,679.75 | Percent: 0.087341% | Link: https://www.sec.gov/Archives/edgar/data/1887944/000001179025000009/0000011790-25-000009.txt
2025-08-15 21:49:58 | RATI SAHI LEVESQUE | Officer | Shares: 151119 | Value: $1,175,733.39 | Percent: 0.131137% | Link: https://www.sec.gov/Archives/edgar/data/1780551/000195004725005944/0001950047-25-005944.txt
2025-08-15 21:49:59 | RATI SAHI LEVESQUE | Officer | Shares: 151119 | Value: $1,175,733.39 | Percent: 0.131137% | Link: https://www.sec.gov/Archives/edgar/data/1573221/000195004725005944/0001950047-25-005944.txt
2025-08-15 21:59:12 | Sela Yossi | Director | Shares: 28692 | Value: $1,219,533.38 | Percent: 0.024577% | Link: https://www.sec.gov/Archives/edgar/data/1800667/000195004725005946/0001950047-25-005946.txt
2025-08-15 21:59:13 | Sela Yossi | Director | Shares: 28692 | Value: $1,219,533.38 | Percent: 0.024577% | Link: https://www.sec.gov/Archives/edgar/data/1402094/000195004725005946/0001950047-25-005946.txt
2025-08-15 22:25:14 | PRITESH DAMANI | Officer | Shares: 6692 | Value: $30,114.0 | Percent: 0.003215% | Link: https://www.sec.gov/Archives/edgar/data/2009371/000195004725005947/0001950047-25-005947.txt
2025-08-15 22:25:14 | PRITESH DAMANI | Officer | Shares: 6692 | Value: $30,114.0 | Percent: 0.003215% | Link: https://www.sec.gov/Archives/edgar/data/1862461/000195004725005947/0001950047-25-005947.txt
2025-08-15 22:42:47 | TAMIR POLEG | Officer | Shares: 7591 | Value: $34,159.5 | Percent: 0.003647% | Link: https://www.sec.gov/Archives/edgar/data/1919883/000195004725005949/0001950047-25-005949.txt
2025-08-15 22:42:48 | TAMIR POLEG | Officer | Shares: 7591 | Value: $34,159.5 | Percent: 0.003647% | Link: https://www.sec.gov/Archives/edgar/data/1862461/000195004725005949/0001950047-25-005949.txt
2025-08-15 22:42:49 | VICKI VILLACREZ | Officer | Shares: 58452 | Value: $2,253,746.3 | Percent: 0.054122% | Link: https://www.sec.gov/Archives/edgar/data/1926297/000195004725005948/0001950047-25-005948.txt
2025-08-15 22:42:50 | VICKI VILLACREZ | Officer | Shares: 58452 | Value: $2,253,746.3 | Percent: 0.054122% | Link: https://www.sec.gov/Archives/edgar/data/1051512/000195004725005948/0001950047-25-005948.txt
2025-08-15 22:52:35 | Karen Herckis | Officer | Shares: 5500 | Value: $27,500.0 | Percent: 0.008908% | Link: https://www.sec.gov/Archives/edgar/data/2008581/000162564125000133/0001625641-25-000133.txt
2025-08-15 22:52:36 | Karen Herckis | Officer | Shares: 5500 | Value: $27,500.0 | Percent: 0.008908% | Link: https://www.sec.gov/Archives/edgar/data/1625641/000162564125000133/0001625641-25-000133.txt
2025-08-15 22:52:38 | Richard Crum | Officer | Shares: 10200 | Value: $51,000.0 | Percent: 0.016520% | Link: https://www.sec.gov/Archives/edgar/data/2028360/000162564125000131/0001625641-25-000131.txt
2025-08-15 22:52:39 | Richard Crum | Officer | Shares: 10200 | Value: $51,000.0 | Percent: 0.016520% | Link: https://www.sec.gov/Archives/edgar/data/1625641/000162564125000131/0001625641-25-000131.txt
2025-08-15 23:10:11 | Melanie Antoon | Officer | Shares: 6700 | Value: $33,500.0 | Percent: 0.010852% | Link: https://www.sec.gov/Archives/edgar/data/2006838/000162564125000137/0001625641-25-000137.txt
2025-08-15 23:10:12 | Melanie Antoon | Officer | Shares: 6700 | Value: $33,500.0 | Percent: 0.010852% | Link: https://www.sec.gov/Archives/edgar/data/1625641/000162564125000137/0001625641-25-000137.txt
2025-08-15 23:10:13 | Michael Lafair | Officer | Shares: 14400 | Value: $72,000.0 | Percent: 0.023323% | Link: https://www.sec.gov/Archives/edgar/data/1870164/000162564125000135/0001625641-25-000135.txt
2025-08-15 23:10:14 | Michael Lafair | Officer | Shares: 14400 | Value: $72,000.0 | Percent: 0.023323% | Link: https://www.sec.gov/Archives/edgar/data/1625641/000162564125000135/0001625641-25-000135.txt
2025-08-16 00:50:51 | Breen Ryan | Spouse of Sec/Treas | Shares: 277683 | Value: $27,768.0 | Percent: 0.224876% | Link: https://www.sec.gov/Archives/edgar/data/1785839/000109690625001349/0001096906-25-001349.txt
2025-08-16 00:50:52 | Breen Ryan | Spouse of Sec/Treas | Shares: 277683 | Value: $27,768.0 | Percent: 0.224876% | Link: https://www.sec.gov/Archives/edgar/data/1393772/000109690625001349/0001096906-25-001349.txt
2025-08-16 00:50:53 | Adam Lee Soroca | Officer | Shares: 10388 | Value: $246,195.6 | Percent: 0.007295% | Link: https://www.sec.gov/Archives/edgar/data/1725125/000141588925022144/0001415889-25-022144.txt
2025-08-16 00:50:54 | Adam Lee Soroca | Officer | Shares: 10388 | Value: $246,195.6 | Percent: 0.007295% | Link: https://www.sec.gov/Archives/edgar/data/1595974/000141588925022144/0001415889-25-022144.txt
2025-08-16 00:50:54 | Katie Seitz Evans | Officer | Shares: 11391 | Value: $269,966.7 | Percent: 0.007999% | Link: https://www.sec.gov/Archives/edgar/data/1700262/000141588925022142/0001415889-25-022142.txt
2025-08-16 00:50:55 | Katie Seitz Evans | Officer | Shares: 11391 | Value: $269,966.7 | Percent: 0.007999% | Link: https://www.sec.gov/Archives/edgar/data/1595974/000141588925022142/0001415889-25-022142.txt
2025-08-16 00:50:57 | Aaron Saltz | Officer | Shares: 6265 | Value: $148,480.5 | Percent: 0.004400% | Link: https://www.sec.gov/Archives/edgar/data/1807986/000141588925022140/0001415889-25-022140.txt
2025-08-16 00:50:58 | Aaron Saltz | Officer | Shares: 6265 | Value: $148,480.5 | Percent: 0.004400% | Link: https://www.sec.gov/Archives/edgar/data/1595974/000141588925022140/0001415889-25-022140.txt
2025-08-16 00:50:58 | David Buonasera | Officer | Shares: 8510 | Value: $201,687.0 | Percent: 0.005976% | Link: https://www.sec.gov/Archives/edgar/data/1966857/000141588925022138/0001415889-25-022138.txt
2025-08-16 00:50:59 | David Buonasera | Officer | Shares: 8510 | Value: $201,687.0 | Percent: 0.005976% | Link: https://www.sec.gov/Archives/edgar/data/1595974/000141588925022138/0001415889-25-022138.txt
2025-08-16 02:27:46 | Casdin Partners Master Fund, L.P. | 10% Shareholder | Shares: 500000 | Value: $12,660,000.0 | Percent: 1.043727% | Link: https://www.sec.gov/Archives/edgar/data/1534265/000091957425004980/0000919574-25-004980.txt
2025-08-16 02:27:47 | Casdin Partners Master Fund, L.P. | 10% Shareholder | Shares: 500000 | Value: $12,660,000.0 | Percent: 1.043727% | Link: https://www.sec.gov/Archives/edgar/data/834365/000091957425004980/0000919574-25-004980.txt
2025-08-16 02:27:49 | Abingworth Bioventures VII LP | Shareholder | Shares: 1347522 | Value: $110,696,581.49 | Percent: 2.535557% | Link: https://www.sec.gov/Archives/edgar/data/1688313/000164117225024511/0001641172-25-024511.txt
2025-08-16 02:27:51 | Abingworth Bioventures VII LP | Shareholder | Shares: 1347522 | Value: $110,696,581.49 | Percent: 2.535557% | Link: https://www.sec.gov/Archives/edgar/data/1484565/000164117225024511/0001641172-25-024511.txt
2025-08-18 10:15:29 | YUAN QIANG | Affiliate | Shares: 100000 | Value: $265,000.0 | Percent: 0.611995% | Link: https://www.sec.gov/Archives/edgar/data/2005461/000173839625000022/0001738396-25-000022.txt
2025-08-18 10:15:30 | YUAN QIANG | Affiliate | Shares: 100000 | Value: $265,000.0 | Percent: 0.611995% | Link: https://www.sec.gov/Archives/edgar/data/1517496/000173839625000022/0001738396-25-000022.txt
2025-08-18 10:15:31 | Trachtman Cohen Sharon | Officer | Shares: 5583 | Value: $137,788.44 | Percent: 0.013120% | Link: https://www.sec.gov/Archives/edgar/data/1969937/000197640825000265/0001976408-25-000265.txt
2025-08-18 10:15:32 | Trachtman Cohen Sharon | Officer | Shares: 5583 | Value: $137,788.44 | Percent: 0.013120% | Link: https://www.sec.gov/Archives/edgar/data/1094366/000197640825000265/0001976408-25-000265.txt
2025-08-18 10:43:12 | YANG XIANFENG | Affiliate | Shares: 218850 | Value: $579,952.0 | Percent: 1.339351% | Link: https://www.sec.gov/Archives/edgar/data/1985439/000173839625000024/0001738396-25-000024.txt
2025-08-18 10:43:13 | YANG XIANFENG | Affiliate | Shares: 218850 | Value: $579,952.0 | Percent: 1.339351% | Link: https://www.sec.gov/Archives/edgar/data/1517496/000173839625000024/0001738396-25-000024.txt
2025-08-18 10:43:14 | Law Man San Vincent | Affiliate | Shares: 438786 | Value: $1,162,783.0 | Percent: 2.685349% | Link: https://www.sec.gov/Archives/edgar/data/1984002/000173839625000023/0001738396-25-000023.txt
2025-08-18 10:43:15 | Law Man San Vincent | Affiliate | Shares: 438786 | Value: $1,162,783.0 | Percent: 2.685349% | Link: https://www.sec.gov/Archives/edgar/data/1517496/000173839625000023/0001738396-25-000023.txt
2025-08-18 12:32:19 | Bernhard Leslie | Director | Shares: 18334 | Value: $363,929.9 | Percent: 2.779209% | Link: https://www.sec.gov/Archives/edgar/data/1981535/000197309725000015/0001973097-25-000015.txt
2025-08-18 12:32:20 | Bernhard Leslie | Director | Shares: 18334 | Value: $363,929.9 | Percent: 2.779209% | Link: https://www.sec.gov/Archives/edgar/data/1333581/000197309725000015/0001973097-25-000015.txt
2025-08-18 13:21:07 | MCKENZIE OBIE | Director | Shares: 18334 | Value: $363,929.9 | Percent: 2.779209% | Link: https://www.sec.gov/Archives/edgar/data/1981535/000197309725000017/0001973097-25-000017.txt
2025-08-18 13:21:08 | MCKENZIE OBIE | Director | Shares: 18334 | Value: $363,929.9 | Percent: 2.779209% | Link: https://www.sec.gov/Archives/edgar/data/1953904/000197309725000017/0001973097-25-000017.txt
2025-08-18 13:21:10 | Fuller Mark C | 10% Stockholder | Shares: 500000 | Value: $640,000.0 | Percent: 0.053711% | Link: https://www.sec.gov/Archives/edgar/data/1944544/000196530125000125/0001965301-25-000125.txt
2025-08-18 13:21:11 | Fuller Mark C | 10% Stockholder | Shares: 500000 | Value: $640,000.0 | Percent: 0.053711% | Link: https://www.sec.gov/Archives/edgar/data/1877939/000196530125000125/0001965301-25-000125.txt
